"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","last_modified","latitude","longitude"
"1",6142396,31862615,"Shared room",NA,"East Boston",146,5,2,1,56,NA,"2017-01-14 10:03:05.137880",42.368663,-71.03493
"2",6134867,20582119,"Entire home/apt",NA,"Downtown",136,4.5,4,2,325,NA,"2017-01-14 09:10:48.580438",42.356239,-71.060427
"3",3721095,10477638,"Entire home/apt",NA,"Charlestown",110,5,6,3,375,NA,"2017-01-14 09:10:54.712514",42.381348,-71.061908
"4",3749523,3842205,"Entire home/apt",NA,"Charlestown",129,4.5,7,4,500,NA,"2017-01-14 09:10:54.672927",42.371913,-71.06333
"5",4151979,21541399,"Entire home/apt",NA,"South Boston",107,5,8,4,500,NA,"2017-01-14 09:10:50.972827",42.336144,-71.035531
"6",3528826,10493424,"Entire home/apt",NA,"Back Bay",115,5,4,1,239,NA,"2017-01-14 08:54:02.122969",42.354722,-71.075246
"7",7881551,1639654,"Entire home/apt",NA,"Back Bay",112,4.5,4,0,210,NA,"2017-01-14 08:54:02.103964",42.353169,-71.078888
"8",497810,2329611,"Entire home/apt",NA,"Downtown",161,4.5,8,3,299,NA,"2017-01-14 08:52:49.356062",42.354393,-71.060094
"9",2881388,9410008,"Entire home/apt",NA,"Back Bay",103,5,7,3,295,NA,"2017-01-14 08:53:39.837997",42.347617,-71.08495
"10",6323935,31804748,"Entire home/apt",NA,"Back Bay",111,5,2,1,185,NA,"2017-01-14 08:50:20.797090",42.344028,-71.08292
"11",257588,1355344,"Entire home/apt",NA,"South Boston",154,5,6,2,200,NA,"2017-01-14 08:49:58.755996",42.330664,-71.039842
"12",1692573,8814724,"Entire home/apt",NA,"Jamaica Plain",110,5,4,2,145,NA,"2017-01-14 08:49:06.797062",42.313379,-71.117189
"13",3890373,19357187,"Entire home/apt",NA,"Beacon Hill",104,5,4,1,225,NA,"2017-01-14 08:52:27.610703",42.357638,-71.0657
"14",163941,8229,"Entire home/apt",NA,"Roxbury",149,4.5,6,2,225,NA,"2017-01-14 08:52:24.931033",42.329647,-71.095027
"15",554720,2727109,"Entire home/apt",NA,"Jamaica Plain",122,4.5,6,2,240,NA,"2017-01-14 08:52:24.927724",42.318569,-71.114154
"16",3302294,1369968,"Entire home/apt",NA,"Back Bay",157,4,2,1,245,NA,"2017-01-14 08:52:19.668910",42.352578,-71.082599
"17",7713728,34916087,"Entire home/apt",NA,"South Boston",123,5,7,3,275,NA,"2017-01-14 08:52:19.661905",42.332358,-71.031397
"18",1811776,825370,"Entire home/apt",NA,"Back Bay",199,4.5,2,1,289,NA,"2017-01-14 08:52:19.649417",42.35143,-71.074388
"19",3969526,5408229,"Entire home/apt",NA,"South End",137,5,4,2,255,NA,"2017-01-14 08:52:19.646407",42.337627,-71.073947
"20",798957,1651480,"Entire home/apt",NA,"South End",220,5,4,2,190,NA,"2017-01-14 08:51:14.186093",42.341213,-71.075711
"21",8065282,16284736,"Entire home/apt",NA,"East Boston",101,5,4,2,181,NA,"2017-01-14 08:49:42.783799",42.374966,-71.03337
"22",508017,2503703,"Entire home/apt",NA,"Beacon Hill",188,4.5,2,1,199,NA,"2017-01-14 08:49:32.937027",42.359145,-71.067851
"23",322593,1651480,"Entire home/apt",NA,"South End",217,4.5,2,1,183,NA,"2017-01-14 08:49:27.690959",42.343488,-71.076802
"24",5025015,25932315,"Entire home/apt",NA,"Jamaica Plain",108,4.5,5,3,175,NA,"2017-01-14 08:41:43.235821",42.325049,-71.106296
"25",169430,807320,"Entire home/apt",NA,"Roxbury",109,4.5,10,4,150,NA,"2017-01-14 08:41:42.664482",42.321582,-71.090472
"26",3166256,16059043,"Entire home/apt",NA,"Dorchester",116,5,4,2,135,NA,"2017-01-14 08:40:44.307384",42.32598,-71.061342
"27",4090224,17783651,"Entire home/apt",NA,"South Boston",206,5,8,3,225,NA,"2017-01-14 08:52:39.065206",42.335018,-71.054882
"28",2683284,1015632,"Entire home/apt",NA,"South End",134,4.5,4,1,135,NA,"2017-01-14 08:39:57.218548",42.338075,-71.075329
"29",3129309,3637081,"Entire home/apt",NA,"North End",195,4.5,2,1,125,NA,"2017-01-14 08:39:51.728179",42.365709,-71.055603
